index,relative_path,category,size_bytes,description
26,06_QA/EBB-AI-SENTINEL-2_BUILD_ENVIRONMENT_BACKEND_CHECK.json,06_QA,112,"QA, preflight, visual, accessibility, or environment record"
27,06_QA/EBB-AI-SENTINEL-2_Blind_Tutor_Response_Review_Rubric_A11Y.json,06_QA,197,"QA, preflight, visual, accessibility, or environment record"
28,06_QA/EBB-AI-SENTINEL-2_Blind_Tutor_Response_Review_Rubric_PDF_PREFLIGHT.txt,06_QA,195,"QA, preflight, visual, accessibility, or environment record"
29,06_QA/EBB-AI-SENTINEL-2_DOCX_AND_FROZEN_ZIP_INTEGRITY.json,06_QA,940,"QA, preflight, visual, accessibility, or environment record"
30,06_QA/EBB-AI-SENTINEL-2_FINAL_QA.txt,06_QA,3794,"QA, preflight, visual, accessibility, or environment record"
31,06_QA/EBB-AI-SENTINEL-2_Live_Paired_Tutor_Certification_and_Safety_Override_Validation_Report_A11Y.json,06_QA,232,"QA, preflight, visual, accessibility, or environment record"
32,06_QA/EBB-AI-SENTINEL-2_Live_Paired_Tutor_Certification_and_Safety_Override_Validation_Report_PDF_PREFLIGHT.txt,06_QA,230,"QA, preflight, visual, accessibility, or environment record"
33,06_QA/EBB-AI-SENTINEL-2_PREFLIGHT_TEST_RESULTS.json,06_QA,3616,"QA, preflight, visual, accessibility, or environment record"
34,06_QA/EBB-AI-SENTINEL-2_RC2_Release_Freeze_and_Fall_Deployment_Decision_Memo_A11Y.json,06_QA,215,"QA, preflight, visual, accessibility, or environment record"
35,06_QA/EBB-AI-SENTINEL-2_RC2_Release_Freeze_and_Fall_Deployment_Decision_Memo_PDF_PREFLIGHT.txt,06_QA,213,"QA, preflight, visual, accessibility, or environment record"
36,06_QA/EBB-AI-SENTINEL-2_WORKBOOK_DASHBOARD_PREVIEW.png,06_QA,278095,"QA, preflight, visual, accessibility, or environment record"
37,06_QA/render_EBB-AI-SENTINEL-2_Blind_Tutor_Response_Review_Rubric/EBB-AI-SENTINEL-2_Blind_Tutor_Response_Review_Rubric.pdf,06_QA,68980,"QA, preflight, visual, accessibility, or environment record"
38,06_QA/render_EBB-AI-SENTINEL-2_Blind_Tutor_Response_Review_Rubric/page-1.png,06_QA,341016,"QA, preflight, visual, accessibility, or environment record"
39,06_QA/render_EBB-AI-SENTINEL-2_Blind_Tutor_Response_Review_Rubric/page-2.png,06_QA,156730,"QA, preflight, visual, accessibility, or environment record"
40,06_QA/render_EBB-AI-SENTINEL-2_Live_Paired_Tutor_Certification_and_Safety_Override_Validation_Report/EBB-AI-SENTINEL-2_Live_Paired_Tutor_Certification_and_Safety_Override_Validation_Report.pdf,06_QA,126059,"QA, preflight, visual, accessibility, or environment record"
41,06_QA/render_EBB-AI-SENTINEL-2_Live_Paired_Tutor_Certification_and_Safety_Override_Validation_Report/page-1.png,06_QA,433609,"QA, preflight, visual, accessibility, or environment record"
42,06_QA/render_EBB-AI-SENTINEL-2_Live_Paired_Tutor_Certification_and_Safety_Override_Validation_Report/page-2.png,06_QA,416541,"QA, preflight, visual, accessibility, or environment record"
43,06_QA/render_EBB-AI-SENTINEL-2_Live_Paired_Tutor_Certification_and_Safety_Override_Validation_Report/page-3.png,06_QA,409788,"QA, preflight, visual, accessibility, or environment record"
44,06_QA/render_EBB-AI-SENTINEL-2_Live_Paired_Tutor_Certification_and_Safety_Override_Validation_Report/page-4.png,06_QA,409725,"QA, preflight, visual, accessibility, or environment record"
45,06_QA/render_EBB-AI-SENTINEL-2_Live_Paired_Tutor_Certification_and_Safety_Override_Validation_Report/page-5.png,06_QA,229728,"QA, preflight, visual, accessibility, or environment record"
46,06_QA/render_EBB-AI-SENTINEL-2_RC2_Release_Freeze_and_Fall_Deployment_Decision_Memo/EBB-AI-SENTINEL-2_RC2_Release_Freeze_and_Fall_Deployment_Decision_Memo.pdf,06_QA,67902,"QA, preflight, visual, accessibility, or environment record"
47,06_QA/render_EBB-AI-SENTINEL-2_RC2_Release_Freeze_and_Fall_Deployment_Decision_Memo/page-1.png,06_QA,366449,"QA, preflight, visual, accessibility, or environment record"
48,06_QA/render_EBB-AI-SENTINEL-2_RC2_Release_Freeze_and_Fall_Deployment_Decision_Memo/page-2.png,06_QA,149728,"QA, preflight, visual, accessibility, or environment record"
49,07_Release_Notes/EBB-AI-SENTINEL-2_DEPLOYMENT_SEQUENCE.md,07_Release_Notes,3674,Deployment sequence or known-limitations release note
50,07_Release_Notes/EBB-AI-SENTINEL-2_KNOWN_LIMITATIONS.md,07_Release_Notes,2255,Deployment sequence or known-limitations release note
51,08_Source_Evidence/EBB-AI-SENTINEL-1_FINAL_QA.txt,08_Source_Evidence,2182,"QA, preflight, visual, accessibility, or environment record"
52,08_Source_Evidence/EBB-AI-SENTINEL-2_INHERITED_TUTOR_CONSTITUTION.md,08_Source_Evidence,1759,Inherited source/release evidence used to govern build
53,08_Source_Evidence/EBB-FALL-RC1_DEPLOYMENT_SEQUENCE.md,08_Source_Evidence,1031,Inherited source/release evidence used to govern build
54,08_Source_Evidence/EBB-FALL-RC1_FINAL_QA.txt,08_Source_Evidence,2340,"QA, preflight, visual, accessibility, or environment record"
55,EBB-AI-SENTINEL-2_README.md,Package root,2689,Package overview and current release decision
